hour,Datetime,Load_MW,PV_MW,Wind_MW,Import_MW,Export_MW,DG_MW,ELY_MW,FC_MW,H2_SOC_MWh,Strategy
0,2022-01-01 00:00:00,3.86,0.00,0.49,3.37,0.00,0.00,0.00,0.00,0.00,IMPORT 3.4MW
1,2022-01-01 01:00:00,2.07,0.00,0.39,1.68,0.00,0.00,0.00,0.00,0.00,IMPORT 1.7MW
2,2022-01-01 02:00:00,2.82,0.00,0.28,2.53,0.00,0.00,0.00,0.00,0.00,IMPORT 2.5MW
3,2022-01-01 03:00:00,3.10,0.00,0.21,2.89,0.00,0.00,0.00,0.00,0.00,IMPORT 2.9MW
4,2022-01-01 04:00:00,3.67,0.00,0.17,3.50,0.00,0.00,0.00,0.00,0.00,IMPORT 3.5MW
5,2022-01-01 05:00:00,4.32,0.00,0.17,4.16,0.00,0.00,0.00,0.00,0.00,IMPORT 4.2MW
6,2022-01-01 06:00:00,3.99,0.00,0.15,3.85,0.00,0.00,0.00,0.00,0.00,IMPORT 3.8MW
7,2022-01-01 07:00:00,5.99,0.00,0.10,5.88,0.00,0.00,0.00,0.00,0.00,IMPORT 5.9MW
8,2022-01-01 08:00:00,6.11,0.08,0.06,5.98,0.00,0.00,0.00,0.00,0.00,IMPORT 6.0MW
9,2022-01-01 09:00:00,5.99,0.39,0.00,5.60,0.00,0.00,0.00,0.00,0.00,IMPORT 5.6MW
10,2022-01-01 10:00:00,9.08,0.69,0.00,8.39,0.00,0.00,0.00,0.00,0.00,IMPORT 8.4MW
11,2022-01-01 11:00:00,6.47,0.96,0.00,5.50,0.00,0.00,0.00,0.00,0.00,IMPORT 5.5MW
12,2022-01-01 12:00:00,9.82,0.99,0.00,8.83,0.00,0.00,0.00,0.00,0.00,IMPORT 8.8MW
13,2022-01-01 13:00:00,15.44,0.96,0.00,14.47,0.00,0.00,0.00,0.00,0.00,IMPORT 14.5MW
14,2022-01-01 14:00:00,16.05,0.70,0.00,15.35,0.00,0.00,0.00,0.00,0.00,IMPORT 15.3MW
15,2022-01-01 15:00:00,18.21,0.42,0.00,17.79,0.00,0.00,0.00,0.00,0.00,IMPORT 17.8MW
16,2022-01-01 16:00:00,11.79,0.07,0.00,11.72,0.00,0.00,0.00,0.00,0.00,IMPORT 11.7MW
17,2022-01-01 17:00:00,15.51,0.00,0.04,15.47,0.00,0.00,0.00,0.00,0.00,IMPORT 15.5MW
18,2022-01-01 18:00:00,10.75,0.00,0.13,10.62,0.00,0.00,0.00,0.00,0.00,IMPORT 10.6MW
19,2022-01-01 19:00:00,8.64,0.00,0.19,8.44,0.00,0.00,0.00,0.00,0.00,IMPORT 8.4MW
20,2022-01-01 20:00:00,9.99,0.00,0.13,9.85,0.00,0.00,0.00,0.00,0.00,IMPORT 9.9MW
21,2022-01-01 21:00:00,11.87,0.00,0.05,11.82,0.00,0.00,0.00,0.00,0.00,IMPORT 11.8MW
22,2022-01-01 22:00:00,10.67,0.00,0.03,10.64,0.00,0.00,0.00,0.00,0.00,IMPORT 10.6MW
