hour,p_import_mw,p_export_mw,p_ely_mw,p_fc_mw,p_dg_mw,p_curt_mw,soc_mwh,objective_eur
0,3.367606686326723,0.0,4.6008179236692706e-10,0.0,0.0,0.0,3.4659402654180286e-10,94275.25828466575
1,1.6835004312387636,0.0,4.228063081650072e-10,1.0072492102485635e-11,0.0,0.0,3.680877348226075e-10,96882.3305973502
2,2.5343940722392793,0.0,5.830131276690816e-10,9.097981990928027e-12,0.0,0.0,4.872063546865392e-10,100172.47890787228
3,2.893706232250137,0.0,3.0224254534708767e-10,2.3267281702242495e-11,0.0,0.0,2.9682065787027494e-10,101368.14125070834
4,3.503862866671039,0.0,6.699927802813586e-10,9.716942615569501e-12,0.0,0.0,5.291287429649472e-10,103918.36845879299
5,4.159574379338376,0.0,5.002837059456625e-10,2.53681823659313e-11,0.0,0.0,4.4247517355574293e-10,105050.54103095495
6,3.8477981622730297,0.0,3.4418782312180686e-10,1.9902021927128084e-11,0.0,0.0,3.20186725575325e-10,105583.82672115613
7,5.882938005931617,0.0,2.929578573331309e-10,1.3460585858467074e-11,0.0,0.0,2.6386331218744746e-10,105615.17857825696
8,5.9763409417763365,0.0,2.759401264116984e-10,1.1704157786244558e-11,0.0,0.0,2.406605058424891e-10,104513.18892091591
9,5.603306237691985,0.0,1.8652559555065716e-08,3.8541159396736876e-11,0.0,0.0,1.3066724409984792e-08,101670.41442438017
10,8.392221952611349,0.0,1.125566610492577e-09,9.65223997096947e-10,0.0,0.0,2.5016474186140465e-09,101157.63149267551
11,5.502142496742383,0.0,1.0529255078859316e-09,1.6988154715920565e-10,0.0,0.0,1.0904510484131659e-09,97008.81936327377
12,8.8260398976969,0.0,6.157104919927395e-10,1.917274077555496e-11,0.0,0.0,6.745904869217561e-10,97347.02797365435
13,14.473420993431029,0.0,2.1649438221279356e-09,0.0,0.0,0.0,1.9384893566664374e-09,95911.99122915349
14,15.349559845764638,1.5994293964523505e-11,3.5330692427615607e-09,0.0,0.0,0.0,3.260479423018141e-09,91375.95036777269
15,17.792061905420557,0.0,1.1226171101526364e-08,0.0,0.0,0.0,9.904727393528117e-09,85891.48476759969
16,11.719512523459267,0.0,3.13036347487477e-10,6.633915339556057e-10,0.0,0.0,1.616946678666945e-09,80694.24154622818
17,15.472031855789377,0.0,2.2942527432049177e-09,0.0,0.0,0.0,2.1538376096966336e-09,78135.77823365598
18,10.619208631120266,0.0,3.1899322868357132e-09,0.0,0.0,0.0,2.8994101761034044e-09,73266.43768770847
19,8.442656905196957,0.0,1.0937888926681228e-09,1.2676137944188796e-10,0.0,0.0,1.2905652937287682e-09,68030.38845577517
20,9.8527742024107,0.0,1.193316608067215e-09,2.8320150727010355e-12,0.0,0.0,1.1587363377269403e-09,63794.54147396132
21,11.824058020630845,0.0,9.690091161687832e-09,0.0,0.0,0.0,8.091230063731722e-09,59151.625924816355
22,10.643451278436665,0.0,1.0303575187184371e-09,4.857569674026799e-10,0.0,0.0,1.962208390581701e-09,53957.70390363106
23,12.788421016991238,0.0,2.2490932560547224e-10,1.2245664163573442e-10,0.0,0.0,4.4969141571336363e-10,50342.16312610151
24,8.930191632881726,0.0,4.485442742822444e-10,4.036470571139809e-12,0.0,0.0,4.2087757061870523e-10,45505.71120419608
25,8.703531818783352,0.0,6.997333627930831e-10,0.0,0.0,0.0,6.143913676311287e-10,41638.85739794129
26,5.0855213721304375,0.0,5.90469384955416e-10,1.3573653137030387e-11,2.264412830384083e-12,0.0,5.458422902567718e-10,37463.32230833611
27,8.335003509724194,0.0,2.0674941949534968e-10,3.0880676500179854e-11,0.0,0.0,2.283724614208956e-10,35607.928544582755
28,5.919525095585862,0.0,4.022505769059128e-09,0.0,0.0,0.0,3.003410393731643e-09,33518.200681646675
29,5.29742043838291,0.0,2.930886170117646e-09,1.5909367306022078e-10,0.0,0.0,2.5155495969095564e-09,32837.82548257962
30,3.9146921130393677,0.0,1.9917096936218184e-10,1.8750931071508607e-10,0.0,0.0,4.495421007255725e-10,35117.57461246355
31,3.5316756153983033,0.0,8.539149748930023e-10,1.0192687589666416e-10,0.0,0.0,5.187482556548896e-10,36175.997206505635
32,2.4287911474395475e-10,0.2738255505657342,4.306221015630057e-09,0.0,0.0,2.8934797089849536e-10,3.1651337135273417e-09,38948.69980974841
33,4.509205963026596,0.0,0.0,2.2694181240072587e-10,0.0,0.0,4.122073718998276e-10,44500.67589203273
34,2.2699975761124883e-09,1.7882033164650523e-09,1.2831619782977286,1.979087235924003e-10,0.0,7.318596944392416e-11,0.8982133846338735,48507.02035967946
35,6.223761958954166,0.0,1.0126785593047432e-09,2.3279019301347633e-09,2.7774745065608183e-11,0.0,0.8982133813455441,53625.73683776585
36,5.764170933719289,0.0,1.5134481272713298e-09,3.1394916186431116e-09,0.0,0.0,0.8982133770712625,56635.40234507659
37,4.795088524657895,0.0,6.362305075300456e-11,9.854108429560011e-11,0.0,0.0,0.8982133769405283,61774.81226512363
38,3.6476190643042363,0.0,1.9831418406927776e-09,5.244892521814216e-09,0.0,0.0,0.8982133693673159,64926.46083405561
39,6.702953728908189,0.0,7.246303190007477e-11,1.8226635420617716e-10,0.0,0.0,0.8982133691075965,70256.35749621381
40,6.260642255080751,0.0,6.37985406146736e-10,1.527932413732639e-09,0.0,0.0,0.8982133669242761,73914.04151010932
41,5.082553851475966,1.0952680429120143e-11,3.4644378738542844e-09,8.033517908858675e-09,0.0,0.0,0.898213355665029,76242.32299673956
42,4.462469063200077e-09,3.6393818307070643e-07,1.150310624917952,1.5497399521345297e-09,0.0,0.0,1.70343079027811,81776.47926929031
43,4.855879504568137e-09,5.9486248905111e-09,1.2896691683634478,1.6217375827660622e-09,0.0,4.798495106844945e-10,2.606199205131481,85955.15276045745
44,0.0,0.12392998848648028,9.473181971206724e-10,4.7777954733657896e-11,0.0,9.759673966167082e-11,2.6061992056863272,91058.91596409652
45,0.7420361460054078,0.0,1.243235663897436e-10,2.747745665701544e-10,0.0,0.0,2.6061992053010896,96377.17041296477
46,2.9291456091172527,0.0,7.222706356847219e-10,2.3866909765264295e-09,3.3103613933096695e-11,0.0,2.6061992017415903,98934.01996358772
47,2.469115898539964,0.0,1.201839813300315e-10,2.0672209793514704e-10,0.0,0.0,2.606199201467239,102845.04737283601
48,0.6796714339646198,0.0,8.643877763183461e-11,1.377209061657524e-10,0.0,0.0,2.6061992012872754,105479.67362036658
49,7.787504400016777e-10,7.578841525243629e-09,0.7587700473556009,5.848180245058784e-10,0.0,9.341339689484339e-10,3.1373382332068083,109141.37465842601
50,1.3188623012017189,0.0,9.412339184433908e-10,1.1496808010587953e-09,0.0,0.0,3.137338231927123,112263.84623913295
51,3.8762515455755726,3.914248565922256e-11,3.908985532412155e-10,2.964956843444104e-09,1.4373136792572814e-10,0.0,3.1373382271937404,114394.87004536172
52,4.467841217680645,0.0,5.933043677205055e-10,3.996563120560546e-09,1.5968523892130322e-10,0.0,3.1373382207316736,114576.53768294732
53,10.161611631600106,1.1876947846633058e-09,2.284569003194789e-09,9.017131158853041e-09,2.919759660743401e-10,0.0,3.137338206717142,116232.19778932874
54,6.172997547338512,0.0,3.96289801323172e-10,2.772408092777814e-09,8.7416410176036e-11,0.0,3.137338202314609,115280.61349884559
55,8.24064056962462,0.0,1.0869143847166676e-10,1.7571829887822787e-08,1.2510468438897986e-09,0.0,3.137338172252437,117022.79506047121
56,10.342730398679898,0.0,0.0,0.0,1.7440474399340032e-11,0.0,3.1373381722804896,117237.1615462697
57,11.486821673518339,0.0,1.021487681970347e-11,0.0,9.308601396830053e-12,0.0,3.1373381723671483,116127.25792094908
58,9.607921901723243,0.0,2.158918703753344e-09,8.821282995069551e-09,0.0,0.0,3.1373381586120055,117649.02694314548
59,11.12436793325301,0.0,5.588819828938511e-10,1.99691628959215e-09,0.0,0.0,3.137338155601448,118097.74260722431
60,14.717624358978725,0.0,0.0,2.7237482024900854e-09,0.0,0.0,3.1373381507076026,120057.61582023886
61,10.134039079779424,0.0,4.158218745124242e-11,5.975755500221711e-10,0.0,0.0,3.137338149707583,120281.58145156845
62,13.21319686708565,0.0,2.3878852372957038e-11,2.876634285245585e-10,6.001111174033304e-12,0.0,3.13733814923123,121606.60326851495
63,12.728099871316749,0.0,3.6858832808855437e-10,6.956705118851039e-09,5.1920481077305805e-11,0.0,3.1373381376543996,121569.42006277146
64,9.91200761688195,0.0,1.5298125047297242e-11,1.9147794984839414e-10,0.0,0.0,3.1373381373322644,122216.37598312547
65,14.858937621961532,0.0,6.125744452593801e-10,1.869238627218425e-09,0.0,0.0,3.137338134564061,123053.99152195267
66,7.843444355546642,2.1618231573425743e-11,0.0,3.097314292085226e-09,5.7125339668826964e-11,0.0,3.1373381292774605,122594.35116075077
67,9.303589615124096,0.0,3.5734302395548136e-10,1.3632454834034168e-09,0.0,0.0,3.137338127213905,123780.88805143615
68,9.648797080345483,0.0,8.034229511175148e-11,0.0,2.2621010054837496e-11,0.0,3.1373381274226406,124582.45549277592
69,5.2948103406639895,0.0,1.323275612349202e-10,0.0,7.033762102843215e-11,0.0,3.1373381274702896,124754.54019011259
70,9.631884805982999,0.0,2.0700839834053964e-10,1.1028617305684878e-09,9.165576529131102e-11,0.0,3.1373381256899355,128304.28707173454
