hour,p_import_mw,p_export_mw,p_ely_mw,p_fc_mw,p_dg_mw,p_curt_mw,soc_mwh,objective_eur
0,2.595665346761591,0.0,5.176587695182241e-10,0.0,0.0,0.0,3.7638424422853707e-10,74681.23709523905
1,1.2689603432376078,0.0,5.58865319253974e-10,1.9768276631090198e-11,0.0,0.0,4.5487187633410774e-10,76807.77322264906
2,1.970955256532984,0.0,6.508660151849952e-10,2.2929693956770025e-11,0.0,0.0,5.335424421927295e-10,79452.75247674732
3,2.2729649847887443,0.0,3.044600372200396e-10,3.2690076464159e-11,0.0,0.0,2.94270114066841e-10,80400.68675955958
4,2.769490292459712,0.0,5.124541829474643e-10,1.5510632112356718e-11,0.0,0.0,4.080122623205615e-10,82413.96629349291
5,3.2946195026124077,0.0,3.54684355822525e-10,2.4371033456219205e-11,0.0,0.0,3.1131899002894555e-10,83249.49608533848
6,3.049118529141084,0.0,3.264584827149571e-10,1.654637120451967e-11,0.0,0.0,2.7999541535611326e-10,83494.89545070159
7,4.685630404659905,0.0,7.047521290118034e-10,7.553199816018454e-12,7.445216747623982e-12,0.0,5.524063565000612e-10,83052.99354635608
8,4.753466742340921,2.3908872270621236e-11,8.5911413587621e-10,3.360434326798123e-11,2.3665363869231114e-11,0.0,6.864331050936222e-10,81507.70405597053
9,4.405594271455746,0.0,2.497559402954028e-09,5.731747070211892e-11,0.0,0.0,1.8310202225934469e-09,78936.97400938596
10,6.576100456395692,0.0,8.676445538597212e-10,4.025221306693412e-11,5.3834342213368714e-11,0.0,1.002122530940387e-09,77485.04031132648
11,4.208947405267841,0.0,6.59613852975876e-10,3.3405080233880467e-12,2.229645204823893e-11,0.0,7.089065377642351e-10,73875.46162203456
12,6.862789419919865,0.0,8.988928177260164e-09,0.0,0.0,0.0,7.621019264843522e-09,73110.87058334143
13,11.386287130385085,0.0,2.7805345886504024e-09,2.3039307890701233e-10,1.0592153880760437e-11,0.0,3.4911250119726024e-09,70979.24442081426
14,12.138708289397714,1.9049044776948904e-09,1.3425935816628124e-08,0.0,7.521125211925915e-10,0.0,1.2050873170920574e-08,66383.03355033146
15,14.149663683598224,0.0,0.0,8.642625237612061e-10,0.0,0.0,1.365937673984376e-09,61106.39588092062
16,9.36140420676204,0.0,4.811384698546876e-09,0.0,2.0220968216608818e-10,0.0,4.227047554104792e-09,56031.55571696684
17,12.370345488988841,0.0,7.88950461377263e-09,0.0,0.0,0.0,7.21427969163694e-09,53186.44650500918
18,8.468486907399361,0.0,7.1365360966306235e-09,3.816708091956743e-11,0.0,0.0,6.774536836792796e-09,48509.733386538304
19,6.715485581024499,0.0,3.7223242904074778e-09,2.618033145050351e-10,4.2575405419645876e-11,0.0,3.88888293650123e-09,43911.13662832929
20,7.85533936620321,0.0,7.195730950114434e-09,0.0,0.0,0.0,6.308776630756005e-09,40110.28152710248
21,9.449586408560455,0.0,0.0,4.5740485975895195e-10,0.0,0.0,6.79807527265272e-10,36042.90449272393
22,8.508741027150117,0.0,6.147916154062667e-09,0.0,5.236063876173076e-11,0.0,5.044823421427153e-09,31417.81513214942
23,10.225416812776519,0.0,0.0,3.6499424492287527e-10,0.0,0.0,5.519302337348962e-10,27691.79385803796
24,7.132953319748112,0.0,6.416431949337564e-11,3.64813619580567e-11,0.0,0.0,1.2305004274262617e-10,22993.282571633245
25,6.912425513150802,0.0,4.706162643193929e-09,0.0,4.906324371277567e-11,0.0,3.6654752163924555e-09,19509.531748041198
26,3.9935170972220053,0.0,2.763705798142489e-09,1.3583600845305813e-10,5.5584183376743586e-11,0.0,2.6421140057147457e-09,16005.839590230085
27,6.568602804948498,0.0,3.042753376436073e-11,1.8907050468680261e-10,0.0,0.0,3.722755542184501e-10,14126.829040378405
28,4.552220069483809,0.0,2.2230092547329634e-10,2.5755570609432262e-11,0.0,0.0,2.0574378944301125e-10,11909.144188863376
29,3.8182163396876363,0.0,1.3653457889075803e-09,3.420641105828818e-11,0.0,0.0,9.436638410727058e-10,11215.503835361988
30,2.106253665104368,0.0,0.0,7.146874480301143e-11,0.0,0.0,1.1090556193924668e-10,13024.605334400998
31,1.3885204564118812,0.0,2.557352545974118e-11,1.611180806556442e-11,0.0,0.0,2.0002759014829848e-11,14152.504547491944
32,3.337421387573255e-11,3.957995304840406e-11,2.2470362129695265,8.468605701313891e-12,0.0,2.6617803628012377e-12,1.5729253490944883,16473.33902658235
33,1.5198518459691526,0.0,1.3133337026710328e-09,6.039027682747662e-10,9.982324242543669e-11,0.0,1.5729253497783606,20666.94704546688
34,3.812761452265999e-11,1.2647864301459052e-10,3.140206741433448,2.2224650905025247e-11,0.0,0.0,3.771070068787716,24645.354377762855
35,2.7709788757351648,3.0372097855203685e-11,1.2917680720679487e-09,9.370294898418553e-10,0.0,0.0,3.7710700686490513,28448.523345339123
36,2.3146410913082214,1.080385513190979e-10,2.0856138466566594e-09,1.4835944922314285e-09,0.0,0.0,3.771070068355825,31548.397714238854
37,1.5795728053151676,0.0,1.621399231278327e-09,1.3707519394768155e-09,0.0,0.0,3.7710700676739584,36422.68620319651
