hour,p_import_mw,p_export_mw,p_ely_mw,p_fc_mw,p_dg_mw,p_curt_mw,soc_mwh,objective_eur
0,0.0,0.0,0.0,0.0,3.3676067,0.0,0.0,92276.6770337676
1,0.0,0.0,0.0,0.0,1.6835004,0.0,0.0,94853.25621785558
2,0.0,0.0,0.0,0.0,2.5343941,0.0,0.0,98081.4523218796
3,0.0,0.0,0.0,0.0,2.8937062,0.0,0.0,99231.05713350856
4,0.0,0.0,0.0,0.0,3.5038629,0.0,0.0,101741.93878388855
5,0.0,0.0,0.0,0.0,4.1595744,0.0,0.0,102846.16349806974
6,0.0,0.0,0.0,0.0,3.8477982,0.0,0.0,103363.75002988895
7,0.88293801,0.0,0.0,0.0,5.0,0.0,0.0,103393.85228488896
8,0.97634094,0.0,0.0,0.0,5.0,0.0,0.0,102319.29091836214
9,0.60330622,0.0,0.0,0.0,5.0,0.0,0.0,99569.91640440254
10,3.392222,0.0,0.0,0.0,5.0,0.0,0.0,99066.30154521295
11,0.5021425,0.0,0.0,0.0,5.0,0.0,0.0,95010.88938549295
12,3.8260399,0.0,0.0,0.0,5.0,0.0,0.0,95349.09801275295
13,9.473421,0.0,0.0,0.0,5.0,0.0,0.0,93914.06126858015
14,10.34956,0.0,0.0,0.0,5.0,0.0,0.0,89381.84813930016
15,12.792062,0.0,0.0,0.0,5.0,0.0,0.0,83922.64495350016
16,6.7195125,0.0,0.0,0.0,5.0,0.0,0.0,78725.40167545616
17,10.472032,0.0,0.0,0.0,5.0,0.0,0.0,76166.93839012018
18,5.6192086,0.0,0.0,0.0,5.0,0.0,0.0,71297.59777452759
19,3.4426569,0.0,0.0,0.0,5.0,0.0,0.0,66154.9485537896
20,4.8527742,0.0,0.0,0.0,5.0,0.0,0.0,62012.501566629595
21,6.824058,0.0,0.0,0.0,5.0,0.0,0.0,57462.98600867724
22,5.6434513,0.0,0.0,0.0,5.0,0.0,0.0,52345.282638670935
23,7.788421,0.0,0.0,0.0,5.0,0.0,0.0,48768.42540338694
24,3.9301916,0.0,0.0,0.0,5.0,0.0,0.0,43979.25040410693
25,3.7035318,0.0,0.0,0.0,5.0,0.0,0.0,40205.796610831334
26,0.085521372,0.0,0.0,0.0,5.0,0.0,0.0,36123.66152918734
27,3.3350035,0.0,0.0,0.0,5.0,0.0,0.0,34378.84914066468
28,0.91952509,0.0,0.0,0.0,5.0,0.0,0.0,32301.496731906678
29,0.29742044,0.0,0.0,0.0,5.0,0.0,0.0,31631.062252725478
