hour,datetime,date,hour_of_day,day_of_week,load_MW,pv_MW,wind_MW,RES_tot_MW,net_load_MW,import_price_EUR_MWh,export_price_EUR_MWh,cf045_import_MW,cf045_export_MW,cf045_DG_MW,cf045_ELY_MW,cf045_FC_MW,cf045_H2_SOC_MWh,cf060_import_MW,cf060_export_MW,cf060_DG_MW,cf060_ELY_MW,cf060_FC_MW,cf060_H2_SOC_MWh
0,2022-01-01 00:00:00,2022-01-01,0,Saturday,3.86,0.0,0.49,0.49,3.37,468.68,170.28,3.37,0.0,0.0,0.0,0.0,0.0,3.37,0.0,0.0,0.0,0.0,0.0
1,2022-01-01 01:00:00,2022-01-01,1,Saturday,2.07,0.0,0.39,0.39,1.68,468.68,155.72,1.68,0.0,0.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,0.0
2,2022-01-01 02:00:00,2022-01-01,2,Saturday,2.82,0.0,0.28,0.28,2.54,468.68,147.09,2.53,0.0,0.0,0.0,0.0,0.0,2.53,0.0,0.0,0.0,0.0,0.0
3,2022-01-01 03:00:00,2022-01-01,3,Saturday,3.1,0.0,0.21,0.21,2.89,468.68,91.0,2.89,0.0,0.0,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0
4,2022-01-01 04:00:00,2022-01-01,4,Saturday,3.67,0.0,0.17,0.17,3.5,468.68,104.0,3.5,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0
5,2022-01-01 05:00:00,2022-01-01,5,Saturday,4.32,0.0,0.17,0.17,4.15,468.68,140.6,4.16,0.0,0.0,0.0,0.0,0.0,4.16,0.0,0.0,0.0,0.0,0.0
6,2022-01-01 06:00:00,2022-01-01,6,Saturday,3.99,0.0,0.15,0.15,3.84,468.68,147.09,3.85,0.0,0.0,0.0,0.0,0.0,3.85,0.0,0.0,0.0,0.0,0.0
7,2022-01-01 07:00:00,2022-01-01,7,Saturday,5.99,0.0,0.1,0.1,5.89,468.68,99.99,5.88,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0
8,2022-01-01 08:00:00,2022-01-01,8,Saturday,6.11,0.08,0.06,0.14,5.97,468.68,67.99,5.98,0.0,0.0,0.0,0.0,0.0,5.98,0.0,0.0,0.0,0.0,0.0
9,2022-01-01 09:00:00,2022-01-01,9,Saturday,5.99,0.39,0.0,0.39,5.6,468.68,95.0,5.6,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0
10,2022-01-01 10:00:00,2022-01-01,10,Saturday,9.08,0.69,0.0,0.69,8.39,468.68,135.8,8.39,0.0,0.0,0.0,0.0,0.0,8.39,0.0,0.0,0.0,0.0,0.0
11,2022-01-01 11:00:00,2022-01-01,11,Saturday,6.47,0.96,0.0,0.96,5.51,468.68,150.7,5.5,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
12,2022-01-01 12:00:00,2022-01-01,12,Saturday,9.82,0.99,0.0,0.99,8.83,468.68,155.72,8.83,0.0,0.0,0.0,0.0,0.0,8.83,0.0,0.0,0.0,0.0,0.0
13,2022-01-01 13:00:00,2022-01-01,13,Saturday,15.44,0.96,0.0,0.96,14.48,468.68,147.09,14.47,0.0,0.0,0.0,0.0,0.0,14.47,0.0,0.0,0.0,0.0,0.0
14,2022-01-01 14:00:00,2022-01-01,14,Saturday,16.05,0.7,0.0,0.7,15.35,468.68,100.0,15.35,0.0,0.0,0.0,0.0,0.0,15.35,0.0,0.0,0.0,0.0,0.0
15,2022-01-01 15:00:00,2022-01-01,15,Saturday,18.21,0.42,0.0,0.42,17.79,468.68,155.0,17.79,0.0,0.0,0.0,0.0,0.0,17.79,0.0,0.0,0.0,0.0,0.0
16,2022-01-01 16:00:00,2022-01-01,16,Saturday,11.79,0.07,0.0,0.07,11.72,468.68,169.78,11.72,0.0,0.0,0.0,0.0,0.0,11.72,0.0,0.0,0.0,0.0,0.0
17,2022-01-01 17:00:00,2022-01-01,17,Saturday,15.51,0.0,0.04,0.04,15.47,468.68,203.1,15.47,0.0,0.0,0.0,0.0,0.0,15.47,0.0,0.0,0.0,0.0,0.0
18,2022-01-01 18:00:00,2022-01-01,18,Saturday,10.75,0.0,0.13,0.13,10.62,468.68,205.83,10.62,0.0,0.0,0.0,0.0,0.0,10.62,0.0,0.0,0.0,0.0,0.0
19,2022-01-01 19:00:00,2022-01-01,19,Saturday,8.64,0.0,0.19,0.19,8.45,468.68,214.66,8.44,0.0,0.0,0.0,0.0,0.0,8.44,0.0,0.0,0.0,0.0,0.0
20,2022-01-01 20:00:00,2022-01-01,20,Saturday,9.99,0.0,0.13,0.13,9.86,468.68,214.66,9.85,0.0,0.0,0.0,0.0,0.0,9.85,0.0,0.0,0.0,0.0,0.0
21,2022-01-01 21:00:00,2022-01-01,21,Saturday,11.87,0.0,0.05,0.05,11.82,468.68,203.0,11.82,0.0,0.0,0.0,0.0,0.0,11.82,0.0,0.0,0.0,0.0,0.0
22,2022-01-01 22:00:00,2022-01-01,22,Saturday,10.67,0.0,0.03,0.03,10.64,468.68,180.0,10.64,0.0,0.0,0.0,0.0,0.0,10.64,0.0,0.0,0.0,0.0,0.0
23,2022-01-01 23:00:00,2022-01-01,23,Saturday,12.82,0.0,0.03,0.03,12.79,468.68,162.44,12.79,0.0,0.0,0.0,0.0,0.0,12.79,0.0,0.0,0.0,0.0,0.0
24,2022-01-02 00:00:00,2022-01-02,0,Sunday,8.99,0.0,0.06,0.06,8.93,468.68,151.13,8.93,0.0,0.0,0.0,0.0,0.0,8.93,0.0,0.0,0.0,0.0,0.0
25,2022-01-02 01:00:00,2022-01-02,1,Sunday,8.96,0.0,0.25,0.25,8.71,468.68,142.85,8.7,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0
26,2022-01-02 02:00:00,2022-01-02,2,Sunday,5.46,0.0,0.37,0.37,5.09,468.68,140.6,5.09,0.0,0.0,0.0,0.0,0.0,5.09,0.0,0.0,0.0,0.0,0.0
27,2022-01-02 03:00:00,2022-01-02,3,Sunday,8.83,0.0,0.5,0.5,8.33,468.68,100.0,8.34,0.0,0.0,0.0,0.0,0.0,8.34,0.0,0.0,0.0,0.0,0.0
28,2022-01-02 04:00:00,2022-01-02,4,Sunday,6.84,0.0,0.92,0.92,5.92,468.68,140.6,5.92,0.0,0.0,0.0,0.0,0.0,5.92,0.0,0.0,0.0,0.0,0.0
29,2022-01-02 05:00:00,2022-01-02,5,Sunday,7.4,0.0,2.1,2.1,5.3,468.68,141.93,5.3,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0
30,2022-01-02 06:00:00,2022-01-02,6,Sunday,9.04,0.0,5.13,5.13,3.91,468.68,147.09,3.91,0.0,0.0,0.0,0.0,0.0,3.91,0.0,0.0,0.0,0.0,0.0
31,2022-01-02 07:00:00,2022-01-02,7,Sunday,10.72,0.0,7.18,7.18,3.54,468.68,153.78,3.53,0.0,0.0,0.0,0.0,0.0,3.53,0.0,0.0,0.0,0.0,0.0
32,2022-01-02 08:00:00,2022-01-02,8,Sunday,9.87,0.1,10.04,10.14,-0.27,468.68,152.59,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0
33,2022-01-02 09:00:00,2022-01-02,9,Sunday,14.95,0.58,9.86,10.44,4.51,468.68,155.72,4.51,0.0,0.0,0.0,0.0,0.0,4.51,0.0,0.0,0.0,0.0,0.0
34,2022-01-02 10:00:00,2022-01-02,10,Sunday,9.29,1.04,9.53,10.57,-1.28,468.68,167.98,0.0,0.0,0.0,1.28,0.0,0.9,0.0,0.0,0.0,1.28,0.0,0.9
35,2022-01-02 11:00:00,2022-01-02,11,Sunday,17.26,1.36,9.68,11.04,6.22,468.68,175.08,6.22,0.0,0.0,0.0,0.0,0.9,6.22,0.0,0.0,0.0,0.0,0.9
36,2022-01-02 12:00:00,2022-01-02,12,Sunday,17.25,1.55,9.94,11.49,5.76,468.68,189.58,5.76,0.0,0.0,0.0,0.0,0.9,5.76,0.0,0.0,0.0,0.0,0.9
37,2022-01-02 13:00:00,2022-01-02,13,Sunday,16.08,1.44,9.85,11.29,4.79,468.68,169.69,4.8,0.0,0.0,0.0,0.0,0.9,4.8,0.0,0.0,0.0,0.0,0.9
38,2022-01-02 14:00:00,2022-01-02,14,Sunday,14.34,1.13,9.56,10.69,3.65,468.68,155.72,3.65,0.0,0.0,0.0,0.0,0.9,3.65,0.0,0.0,0.0,0.0,0.9
