hour,datetime,p_import_mw,p_export_mw,p_dg_mw,p_ely_mw,p_fc_mw,soc_mwh,strategy
0,2022-01-01 00:00:00,3.37,0.00,0.00,0.00,0.00,0.00,IMPORT
1,2022-01-01 01:00:00,1.68,0.00,0.00,0.00,0.00,0.00,IMPORT
2,2022-01-01 02:00:00,2.53,0.00,0.00,0.00,0.00,0.00,IMPORT
3,2022-01-01 03:00:00,2.89,0.00,0.00,0.00,0.00,0.00,IMPORT
4,2022-01-01 04:00:00,3.50,0.00,0.00,0.00,0.00,0.00,IMPORT
5,2022-01-01 05:00:00,4.16,0.00,0.00,0.00,0.00,0.00,IMPORT
6,2022-01-01 06:00:00,3.85,0.00,0.00,0.00,0.00,0.00,IMPORT
7,2022-01-01 07:00:00,5.88,0.00,0.00,0.00,0.00,0.00,IMPORT
8,2022-01-01 08:00:00,5.98,0.00,0.00,0.00,0.00,0.00,IMPORT
9,2022-01-01 09:00:00,5.60,0.00,0.00,0.00,0.00,0.00,IMPORT
10,2022-01-01 10:00:00,8.39,0.00,0.00,0.00,0.00,0.00,IMPORT
11,2022-01-01 11:00:00,5.50,0.00,0.00,0.00,0.00,0.00,IMPORT
12,2022-01-01 12:00:00,8.83,0.00,0.00,0.00,0.00,0.00,IMPORT
13,2022-01-01 13:00:00,14.47,0.00,0.00,0.00,0.00,0.00,IMPORT
14,2022-01-01 14:00:00,15.35,0.00,0.00,0.00,0.00,0.00,IMPORT
15,2022-01-01 15:00:00,17.79,0.00,0.00,0.00,0.00,0.00,IMPORT
16,2022-01-01 16:00:00,11.72,0.00,0.00,0.00,0.00,0.00,IMPORT
17,2022-01-01 17:00:00,15.47,0.00,0.00,0.00,0.00,0.00,IMPORT
18,2022-01-01 18:00:00,10.62,0.00,0.00,0.00,0.00,0.00,IMPORT
19,2022-01-01 19:00:00,8.44,0.00,0.00,0.00,0.00,0.00,IMPORT
20,2022-01-01 20:00:00,9.85,0.00,0.00,0.00,0.00,0.00,IMPORT
21,2022-01-01 21:00:00,11.82,0.00,0.00,0.00,0.00,0.00,IMPORT
22,2022-01-01 22:00:00,10.64,0.00,0.00,0.00,0.00,0.00,IMPORT
23,2022-01-01 23:00:00,12.79,0.00,0.00,0.00,0.00,0.00,IMPORT
24,2022-01-02 00:00:00,8.93,0.00,0.00,0.00,0.00,0.00,IMPORT
25,2022-01-02 01:00:00,8.70,0.00,0.00,0.00,0.00,0.00,IMPORT
26,2022-01-02 02:00:00,5.09,0.00,0.00,0.00,0.00,0.00,IMPORT
27,2022-01-02 03:00:00,8.34,0.00,0.00,0.00,0.00,0.00,IMPORT
28,2022-01-02 04:00:00,5.92,0.00,0.00,0.00,0.00,0.00,IMPORT
