hour,p_import_mw,p_export_mw,p_ely_mw,p_fc_mw,p_dg_mw,p_curt_mw,soc_mwh,objective_eur
0,3.367606685946061,0.0,0.0,0.0,0.0,0.0,0.0,94275.25828452983
1,1.683500430956541,0.0,0.0,0.0,0.0,0.0,0.0,96882.33059730183
2,2.5343940718004463,0.0,0.0,0.0,0.0,0.0,0.0,100172.47890788227
3,2.8937062320782725,0.0,0.0,0.0,0.0,0.0,0.0,101368.14125079267
4,3.5038628661333697,0.0,0.0,0.0,0.0,0.0,0.0,103918.3684588298
5,4.159574378986849,0.0,0.0,0.0,0.0,0.0,0.0,105050.54103101377
6,3.8477981620531296,0.0,0.0,0.0,0.0,0.0,0.0,105583.82672120788
7,5.8829380057390175,0.0,0.0,0.0,0.0,0.0,0.0,105615.1785782221
8,5.976340941586992,0.0,0.0,0.0,0.0,0.0,0.0,104513.18892086801
9,5.603306222287294,0.0,0.0,0.0,0.0,0.0,0.0,101670.41440687707
10,8.392221953155873,0.0,0.0,0.0,0.0,0.0,0.0,101157.631497543
11,5.502142496167243,0.0,0.0,0.0,0.0,0.0,0.0,97008.81936349162
12,8.826039897294185,0.0,0.0,0.0,0.0,0.0,0.0,97347.02797420297
13,14.473420991607464,0.0,0.0,0.0,0.0,0.0,0.0,95911.9912294032
14,15.349559842709798,0.0,0.0,0.0,0.0,0.0,0.0,91375.95036882818
15,17.792061895910212,0.0,0.0,0.0,0.0,0.0,0.0,85891.48476712497
16,11.719512524342345,0.0,0.0,0.0,0.0,0.0,0.0,80694.24155149108
17,15.472031853994507,0.0,0.0,0.0,0.0,0.0,0.0,78135.77823428441
18,10.619208628517523,0.0,0.0,0.0,0.0,0.0,0.0,73266.43768700906
19,8.442656904564863,0.0,0.0,0.0,0.0,0.0,0.0,68030.38845642915
20,9.852774201514857,0.0,0.0,0.0,0.0,0.0,0.0,63794.541473465135
21,11.824058012123404,0.0,0.0,0.0,0.0,0.0,0.0,59151.625914872646
22,10.64345127853115,0.0,0.0,0.0,0.0,0.0,0.0,53940.522529191745
23,12.78842101702683,0.0,0.0,0.0,0.0,0.0,0.0,50318.73496647609
24,8.930191632544997,0.0,0.0,0.0,0.0,0.0,0.0,45482.28304362297
25,8.703531818215298,0.0,0.0,0.0,0.0,0.0,0.0,41615.4292370061
26,5.085521371686126,0.0,0.0,0.0,0.0,0.0,0.0,37439.89414733635
27,8.335003509617595,0.0,0.0,0.0,0.0,0.0,0.0,35607.928544598784
28,5.919525092351594,0.0,0.0,0.0,0.0,0.0,0.0,33518.20067564251
29,5.29742043641221,0.0,0.0,0.0,0.0,0.0,0.0,32837.82547949047
30,3.914692113180159,0.0,0.0,0.0,0.0,0.0,0.0,35117.57461320343
31,3.5316756148665815,0.0,0.0,0.0,0.0,0.0,0.0,36175.99720548649
32,0.0,0.2738255553308875,0.0,0.0,0.0,0.0,0.0,38948.69980443274
33,4.509205963403485,0.0,0.0,0.0,0.0,0.0,0.0,44500.675893195854
34,0.0,0.0,1.2831619778919539,0.0,0.0,0.0,0.8982133845243677,48507.02035712226
35,6.223761960858059,0.0,0.0,0.0,0.0,0.0,0.8982133845243677,53625.736835317766
36,5.764170935956869,0.0,0.0,0.0,0.0,0.0,0.8982133845243677,56635.402340867644
37,4.795088524732332,0.0,0.0,0.0,0.0,0.0,0.8982133845243677,61774.812262733416
38,3.647619069254077,0.0,0.0,0.0,0.0,0.0,0.8982133845243677,64926.460833506535
39,6.702953729071602,0.0,0.0,0.0,0.0,0.0,0.8982133845243677,70256.35749123638
40,6.260642256341221,0.0,0.0,0.0,0.0,0.0,0.8982133845243677,73895.8396297886
41,5.082553857759546,0.0,0.0,0.0,0.0,0.0,0.8982133845243677,76242.32299519231
42,0.0,0.0,1.1503109843524155,0.0,0.0,0.0,1.7034310735710587,81776.4792617185
43,0.0,0.0,1.2896691707083274,0.0,0.0,0.0,2.606199493066888,85955.15267871451
44,0.0,0.12392998965538032,0.0,0.0,0.0,0.0,2.6061994930668764,91058.91587058753
45,0.7420361462392364,0.0,0.0,0.0,0.0,0.0,2.6061994930668764,96377.17031888658
46,2.9291456117544445,0.0,0.0,0.0,0.0,0.0,2.6061994930668764,98934.0198748674
47,2.4691158987088997,0.0,0.0,0.0,0.0,0.0,2.6061994930668764,102845.04727749684
48,0.679671434079248,0.0,0.0,0.0,0.0,0.0,2.6061994930668764,105479.67352477327
49,0.0,0.0,0.7587700559734167,0.0,0.0,0.0,3.137338532248268,109141.37457751496
50,1.3188623017106185,0.0,0.0,0.0,0.0,0.0,3.137338532248268,112263.84614274034
51,3.876251548885295,0.0,0.0,0.0,0.0,0.0,3.137338532248268,114394.86995008014
52,4.467841222436101,0.0,0.0,0.0,0.0,0.0,3.137338532248268,114576.5375917349
