hour,p_import_mw,p_export_mw,p_ely_mw,p_fc_mw,p_dg_mw,p_curt_mw,soc_mwh,objective_eur
0,3.3676066876507957,0.0,2.4539975172976495e-09,0.0,2.803889354916191e-10,0.0,1.9152026581799715e-09,94275.25828500552
1,1.6835004316410924,0.0,1.6644156521180973e-09,5.251359719180274e-11,3.22315476355086e-10,0.0,1.5722796743952017e-09,96882.33059641712
2,2.534394072712957,0.0,1.6943615789671636e-09,2.023452873895661e-11,2.4940468726568293e-10,0.0,1.5581594243556411e-09,100172.47890727772
3,2.8937062325839604,0.0,1.0733844511035398e-09,4.6591140767616277e-11,1.8540982725049962e-10,0.0,1.0739156297048848e-09,101368.14125013366
4,3.5038628668593996,0.0,1.239181431345131e-09,1.2415622321138076e-11,1.7795178542137152e-10,0.0,1.123231565196423e-09,103918.36845859555
5,4.159574379663577,0.0,1.1426124127413903e-09,1.5493016689185996e-11,1.5024303123963693e-10,0.0,1.0623852206445516e-09,105050.54103073987
6,3.847798162696323,0.0,1.0924646809634443e-09,1.1306607160757961e-11,1.45576861530885e-10,0.0,1.018426150965784e-09,105583.82672098948
7,5.882938006716319,0.0,1.5596364341470663e-09,0.0,2.4517217499802936e-10,0.0,1.4064528445460631e-09,105615.17857816796
8,5.976340942816184,0.0,1.9707970127093825e-09,0.0,3.2928809756796484e-10,0.0,1.7555537793366337e-09,104513.1889205252
9,5.603306222459524,0.0,5.696031770730682e-10,1.0821391075195623e-10,6.808262445666478e-11,0.0,6.661210443151587e-10,101670.41440593833
10,8.392221956986837,0.0,5.80938850149916e-09,0.0,4.220399862402893e-10,0.0,4.36259877545585e-09,101157.6314965895
11,5.502142500670721,0.0,7.52648730565507e-09,1.7042482475295696e-10,4.890625877029419e-10,0.0,6.123471319258766e-09,97008.81936078712
12,8.826039896593526,0.0,1.8985334694302896e-10,4.050820172341305e-10,9.52404392149292e-12,0.0,1.0133159803515258e-09,97347.02796934076
13,14.473420996845942,0.0,7.494210129850139e-09,0.0,5.598194684758832e-10,0.0,6.574676766220703e-09,95911.99122503126
14,15.349559853308305,0.0,1.5912310481402917e-08,0.0,1.0258297189629316e-09,0.0,1.4613031631578416e-08,91375.95035285792
15,17.79206189497851,0.0,1.5324742233586783e-09,8.267816155407851e-10,1.2219619982408325e-10,0.0,3.4224698278965938e-09,85891.4847541547
16,11.719512536006809,0.0,1.6449994301366153e-08,0.0,1.2608120106843656e-09,0.0,1.4339819839967844e-08,80694.24154575886
17,15.47203185325773,0.0,1.7110873310262816e-09,8.052825724991124e-10,1.1435456668902112e-10,0.0,3.516189103752508e-09,78135.77822160348
18,10.619208628473862,0.0,5.702122228926671e-10,1.9716902154847376e-10,3.1843770792388907e-11,0.0,9.640365561964408e-10,73266.43768425423
19,8.442656910796037,0.0,8.177183827364543e-09,0.0,7.83993442664273e-10,0.0,6.8355995525506616e-09,68030.38846168654
20,9.85277420713329,0.0,8.646022755970398e-09,0.0,7.551478378911714e-10,0.0,8.128766048638305e-09,63794.54147288133
21,11.824058010873536,0.0,0.0,5.853690979667974e-10,0.0,0.0,9.740452491288962e-10,59151.625909511815
22,10.643451278568971,0.0,2.425340393937615e-10,5.037354247114871e-11,1.9317323997700102e-11,0.0,3.339274334609963e-10,53957.70390617217
23,12.788421018554935,0.0,2.2430476617032384e-09,0.0,1.4344819497051722e-10,0.0,1.940641113131382e-09,50342.163126490654
24,8.930191632496598,0.0,3.318184937037904e-10,1.1522008131055897e-10,4.041386408938083e-11,0.0,5.355237319257575e-10,45505.711202954466
25,8.703531818534659,0.0,5.671085174385689e-10,9.026566615892886e-13,7.379803669210054e-11,0.0,5.315161913429393e-10,41638.85739765263
26,5.0855213717991266,0.0,2.7340783715068165e-10,2.1895161843874925e-11,4.645334434285688e-11,0.0,2.906750920564366e-10,37463.322307890834
27,8.335003509653923,0.0,1.293103389685109e-10,1.5165270273975487e-11,1.6158505450467322e-11,0.0,1.3816502704340556e-10,35607.92854449026
28,5.9195250941495905,0.0,2.8635650722016525e-09,0.0,4.350567345668481e-10,0.0,2.1768487478810987e-09,33518.200680249305
29,5.297420437728458,0.0,2.6063803414622826e-09,9.053960452626293e-11,4.435172485234113e-10,0.0,2.211523902045759e-09,32837.8254825577
30,3.914692115133678,0.0,4.019994167874956e-09,1.3308402513555522e-10,7.598266740871575e-10,0.0,3.1212678130997116e-09,35117.574618840474
31,3.5316756144178063,0.0,2.0906052871553364e-11,2.429119702633549e-10,1.80436473324013e-11,0.0,3.850885733104557e-10,36175.997203803556
32,8.42078093600237e-10,0.27382555061811553,5.157454766733462e-09,0.0,0.0,2.3953681232786976e-10,3.7020361066147046e-09,38948.699814681946
33,4.509205962999912,0.0,1.0222154335626625e-09,4.054539399190509e-10,4.685846866776612e-10,0.0,9.89278284662373e-10,44500.67589635545
34,9.02582069315136e-11,2.7036892781954177e-09,1.2831619754040762,3.158830128287384e-10,0.0,1.295850450222821e-10,0.8982133826555839,48507.020360869494
35,6.223761959012427,0.0,5.125449459878147e-10,1.427885660012354e-09,4.192010427778019e-10,0.0,0.8982133805224084,53625.73683932072
36,5.764170930842577,0.0,6.684773567266903e-10,4.160969673747911e-09,8.229862401571627e-10,0.0,0.8982133739200288,56635.40234850418
37,4.795088523448176,0.0,1.9422057031882664e-10,8.754106731680175e-10,2.6366225954907085e-10,0.0,0.8982133725359321,61774.812266844434
38,3.647619065904831,0.0,1.4796837890057526e-09,3.0160114304897804e-09,5.566610165279685e-10,0.0,0.8982133684207113,64926.46083848618
39,6.702953721055151,0.0,3.846081512035193e-09,7.1376268449679825e-09,1.4971933508359255e-09,0.0,0.8982133589388989,70256.35749781576
40,6.260642247153434,0.0,4.174641417228927e-09,8.395900510728858e-09,1.6154008313068432e-09,0.0,0.8982133475642162,73895.8396386156
41,5.0825538515408235,0.0,2.4661281702743915e-09,6.065446536635498e-09,9.240714282101967e-10,0.0,0.8982133389067286,76242.32300533095
42,0.0,3.3440234899150164e-07,1.1503106499956677,1.249415584414827e-09,0.0,3.868416521606781e-11,1.7034307913502933,81776.4792741649
43,0.0,2.7650280830428965e-10,1.289669170403011,1.4157410623504327e-11,0.0,5.553125880312768e-12,2.6061992105961007,85955.15277147679
44,9.358536023932123e-11,0.1239299888649677,8.192097879064349e-10,3.2749719878390876e-11,0.0,7.333285364461075e-11,2.6061992110976275,91058.91596329841
45,0.7420361442458172,0.0,7.060380331336439e-10,1.8343280622948441e-09,2.707584406423673e-10,0.0,2.606199208479016,96377.1704107039
46,2.9291456111182312,0.0,3.3170303797824423e-10,5.759071572486984e-10,1.320869113602224e-10,0.0,2.606199207725994,98934.01996814158
47,2.4691158981137735,0.0,3.3927396758218975e-10,5.687321990593145e-10,1.27767057652562e-10,0.0,2.606199206994779,102845.04737112334
48,0.6796714332817659,0.0,2.8130482250710784e-10,6.941487543604047e-10,1.0792873776550898e-10,0.0,2.606199206009887,105479.67361841317
49,2.983466340169761e-11,7.010693005512643e-10,0.7587700552231631,2.5623123067894973e-11,0.0,4.7108125099604614e-11,3.137338244598218,109141.37467145806
50,1.318862296695845,0.0,5.4807996865939296e-09,5.197431195134174e-09,1.4480180349794782e-09,0.0,3.1373382393735967,112263.8462270128
51,3.876251539459712,0.0,5.888517534365317e-09,7.60918767094656e-09,2.192680901337282e-09,0.0,3.1373382302278414,114394.87003236229
52,4.467841220261199,0.0,1.0721751441978498e-09,1.6404551215532784e-09,5.148847890172427e-10,0.0,3.137338228135407,114576.53768887199
53,10.161611638612547,0.0,1.1096449919257693e-09,1.7410733029643716e-09,5.501331030443069e-10,0.0,3.1373382258982545,116232.19781130397
54,6.172997548961783,0.0,6.865964566615896e-10,1.1624076050228224e-09,3.488442806518216e-10,0.0,3.13733822438165,115280.61349476938
55,8.240640592953154,0.0,2.5902975555621364e-10,1.2185854537621806e-09,3.7356461165315107e-10,0.0,3.13733822248858,117022.79509182015
56,10.34273039867142,0.0,3.2168265950510473e-11,0.0,1.0476272849270408e-10,0.0,3.137338222533545,117237.16153051013
57,11.486821673334715,0.0,5.42059012262497e-11,0.0,1.8295640315406725e-10,0.0,3.137338222562972,116127.25790529799
58,9.607921911207121,0.0,1.8523040548789717e-10,8.283850435766012e-10,4.6013704955735835e-10,0.0,3.1373382212796983,117649.0269507953
59,11.12436793145962,0.0,1.0214194821918046e-09,2.1245582038314503e-09,1.1805395324248458e-09,0.0,3.1373382181306098,118097.74258393444
60,14.7176243482434,0.0,2.8686965987198474e-09,8.17131142006878e-09,3.96358355323724e-09,0.0,3.137338205960878,120057.61579061135
61,10.134039080251792,0.0,6.097706266256247e-11,1.6755446329695818e-10,7.503781255177356e-11,0.0,3.1373382057123207,120281.58143434867
62,13.213196865947078,0.0,3.399200615499611e-10,9.112838535700628e-10,3.928640991003032e-10,0.0,3.1373382043852804,121606.60324950395
63,12.728099878001274,0.0,6.45647722479103e-10,1.4325686678698044e-09,7.393555457176721e-10,0.0,3.1373382023600427,121569.42005459368
64,9.912007614806432,0.0,7.764403797895356e-10,1.2806297075769116e-09,8.738370991920701e-10,0.0,3.137338200656535,122216.37595931646
65,14.858937621493945,0.0,7.366603765744573e-10,0.0,1.3758451612949933e-09,0.0,3.1373382008318518,123053.99149520797
66,7.84344435822,2.0260404472040236e-11,9.70564716021474e-10,8.868467794553004e-11,1.1760610253893782e-09,0.0,3.137338201087412,122594.35113994344
67,9.303589615830164,0.0,4.193065467359967e-11,6.038394241052492e-10,9.975625427874116e-11,0.0,3.137338200083321,123780.88802959518
68,9.648797074266636,0.0,4.399169730231258e-10,4.159607728199467e-09,1.2019497956596267e-09,0.0,3.1373381931802347,124582.45546504023
69,5.2948103390378325,0.0,3.202359640607791e-10,8.118601769010843e-10,7.945259567511262e-10,0.0,3.1373381919385874,124754.54016849738
70,9.63188479813599,0.0,1.6211386264801936e-09,3.1909072610217036e-09,3.5429297934656336e-09,0.0,3.1373381872668458,128304.28703883055
71,8.090491348720532,0.0,1.103758447009888e-09,2.04476071889819e-09,6.873905302327639e-10,0.0,3.137338184445422,129046.65493585185
72,8.492467056823887,0.0,2.0989308274762483e-10,4.5859683323276756e-10,1.7581023461462376e-10,0.0,3.137338183815037,131477.70052157252
73,6.66226757051565,0.0,2.708355513653822e-10,4.878929389572183e-10,1.8687268775917693e-10,0.0,3.137338183177618,130987.62651233068
74,5.865725417776206,0.0,2.4396004985218194e-09,3.209119300608539e-09,1.0582967825133828e-09,0.0,3.137338179192024,132384.1258927848
75,4.263867062121928,0.0,3.6553203352706813e-09,4.845450671482373e-09,1.4988111716456568e-09,0.0,3.1373381732721994,132461.30226421205
76,8.000443679328164,0.0,1.1115568042123642e-09,3.856410396642273e-09,1.0346376630583588e-09,0.0,3.137338167524776,132911.92761484528
77,8.131261895215598,0.0,1.9059035710287912e-10,4.3880788264356985e-10,1.362199011207549e-10,0.0,3.137338166904592,132847.9060556222
78,9.89020672013113,0.0,1.2332256999959823e-09,4.413233134581186e-09,1.0473273016810673e-09,0.0,3.137338160284354,132260.6299912935
79,8.631406632516146,0.0,8.199992774201595e-11,4.956034401151522e-09,1.8886794255609537e-09,0.0,3.1373381519710173,130848.84311414593
80,8.259421544790426,0.0,7.605160930337222e-11,0.0,1.3884312049550202e-10,0.0,3.137338152067235,132237.17442403958
81,14.343209249023955,0.0,1.0917310582543985e-10,6.072244101106625e-10,3.7039282534780264e-10,0.0,3.137338151101899,130281.59384028357
82,10.45016914965861,0.0,1.8842484475458844e-10,1.0880243047411288e-09,5.343127556283963e-10,0.0,3.137338149379702,127378.88434983049
83,14.803084848181546,0.0,1.3047968151850164e-10,2.398537395023192e-10,2.0136780971599492e-10,0.0,3.137338149050884,124396.16994969599
84,15.13801180727722,0.0,6.401434553772404e-10,1.9991004540197028e-09,1.0039561531485426e-09,0.0,3.1373381460304697,119354.55419339199
85,12.62112860493831,0.0,3.6924037543656796e-10,1.0250001352590853e-09,4.700594941618626e-10,0.0,3.1373381445149047,112687.512978726
86,13.143403348051018,0.0,6.195416827538891e-10,1.241860850060322e-09,7.461492783787698e-10,0.0,3.137338142777631,106764.6003954259
87,13.942447623262487,0.0,6.07039156888084e-10,1.0087212398902715e-09,7.122348414843853e-10,0.0,3.1373381414086348,100625.03681306906
88,11.484226892876562,0.0,8.770353275872821e-10,1.1533030034789333e-09,1.340409808764443e-09,0.0,3.137338139771217,95811.81625034675
89,13.996184487032846,0.0,1.0076493882351654e-09,1.5271180642041643e-09,1.1400678760165886e-09,0.0,3.1373381377902447,93841.86086669363
90,10.070595201799344,0.0,1.2203818442573272e-09,0.0,1.365210085148636e-09,0.0,3.137338138393682,89553.16765831529
91,10.764757428671196,0.0,9.59524043838004e-10,2.4992014697003583e-09,1.2621887742983554e-09,0.0,3.137338134763763,87522.18620498315
92,9.962488236587252,0.0,5.476689601597866e-10,6.814021064096329e-09,1.1945671985513192e-09,0.0,3.1373381232261646,82020.28836307144
93,11.765601990509332,0.0,2.678104610280672e-10,0.0,5.180773945422115e-10,0.0,3.137338123352988,76467.75215393653
94,10.985138442095527,0.0,2.0395414333068184e-09,5.428007162923966e-09,3.682085670025192e-09,0.0,3.1373381151969535,70474.4125374439
95,13.27749651312712,1.4437656409906421e-10,1.4112671864141711e-09,0.0,6.133564949204717e-10,5.5092487336593163e-11,3.137338119748572,65025.99421342828
96,7.446819685222493,0.0,1.6885999386805147e-09,1.8341348091808944e-09,9.771505784949083e-10,0.0,3.1373381185824205,59088.35129803214
97,9.641911243476919,6.476435558225113e-10,3.2950334056571657e-09,0.0,1.2162719938189187e-09,6.174960887540571e-10,3.137338131272688,55655.135747001776
98,6.030392936168337,0.0,1.9562792068407786e-09,1.2932521120363079e-09,8.030811818730425e-10,0.0,3.137338130311917,51843.914095593085
99,5.225344697335393,0.0,1.2316964566323636e-09,1.2813707230419763e-09,7.267977743850947e-10,0.0,3.1373381287746263,49619.069112059115
100,7.863843951440649,0.0,7.707140814468303e-10,3.7359776888416497e-10,3.501941250848102e-10,0.0,3.137338128479954,47816.66674719063
101,6.878219175245293,0.0,4.770789109922578e-10,3.485010055262599e-10,2.687442104428038e-10,0.0,3.137338128720068,45082.576850032325
102,6.877944891541264,5.431011436861063e-10,4.136685410366719e-09,0.0,1.382532593680485e-09,2.876734139658468e-10,3.1373381432101053,43174.66730247218
103,9.9958473419789,0.0,3.020742557277846e-11,1.1663320300247615,5.3331592618432945e-11,0.0,1.1934514264950933,42301.76542215598
104,4.588761992688913,0.0,0.0,2.446163786446108e-10,2.168664918066401e-11,0.0,1.1934514259260594,38507.381227307334
105,8.894771850562565,0.0,0.0,2.7104081082337183e-08,9.239245392553999e-10,0.0,1.1934513662308783,39951.4233971002
106,4.851561144610166,0.0,0.0,1.555154950111109e-09,1.4444667971305777e-10,0.0,1.1934513625159708,37983.48141023943
107,5.3398823577263395,0.0,2.022639790867477e-10,1.3688170152060817e-08,1.93660517086337e-09,0.0,1.1934513346672924,38863.73098530813
108,2.6238567794844108,0.0,0.0,2.127873157286958e-08,1.0294261354974347e-09,0.0,1.1934512877784251,39654.07431907624
109,1.5037162950038299,0.0,0.0,6.433580898810674e-10,2.5989971247361735e-10,0.0,1.1934512851054162,43149.09190030628
110,1.6193332528208855,0.0,0.0,2.1700683785138037e-09,4.528884159342558e-10,0.0,1.193451272616847,48265.933345447906
111,4.907946981227704,0.0,0.0,2.046123196550652e-09,5.419322841486058e-10,0.0,1.193451261153919,51797.52746691459
112,7.786585574936844,0.0,7.097346599443157e-12,6.226796843735595e-09,4.4950080104028374e-10,0.0,1.1934512478155952,53916.57772753885
113,5.946231010930925,0.0,7.31956373951295e-10,6.919136822904109e-09,7.666879030832579e-10,0.0,1.193451234621987,54292.13900483907
114,6.258406869591151,0.0,0.0,1.815268917893879e-09,1.0979312767159666e-10,0.0,1.1934512304784903,55263.48186736001
115,0.7354128733798689,0.0,0.0,2.502579815043788e-10,9.140158001213905e-11,0.0,1.1934512290393058,55932.27028313623
116,2.054648185946096e-10,0.3609077667521302,7.235481260495508e-10,4.0098518202593723e-10,0.0,0.0,1.1934512274986468,58185.20353810726
117,0.8404140205635937,0.0,0.0,1.3163946236727274e-09,2.678941570649189e-10,0.0,1.1934512202048824,61300.07031270196
118,0.33721041174190486,0.0,1.328376935332078e-10,0.716070654273665,5.906375878564222e-10,0.0,1.2838810753974677e-07,63725.78898908155
119,0.6086330549387629,0.0,3.847271292318385e-09,9.160839853279354e-09,1.0154912302735996e-09,0.0,2.127979212249955e-08,66886.67419341882
120,0.12153261252477139,0.0,0.0,1.5969176158493965e-09,0.0,0.0,2.1055399754539246e-09,70185.98681846292
121,1.5100906794476976,0.0,9.76484423719082e-10,1.0968264399473563e-10,1.8480739840255113e-10,0.0,1.041829694113108e-09,71669.27361041732
122,1.2833480869339315,0.0,5.874086638869441e-10,5.3298516011119746e-11,1.1552019519958628e-10,0.0,5.900953658876334e-10,73404.6798685399
123,1.3796453680196834,0.0,1.065680212234278e-09,0.0,2.225294524997543e-10,0.0,9.112269180048816e-10,74539.65759824558
124,2.030247687386355,0.0,4.680254367664975e-10,4.7791393281586685e-11,7.749388713696552e-11,0.0,4.811865433556008e-10,76769.57779473516
125,2.8074042431527264,0.0,3.9004916219061745e-10,1.802525952942183e-11,6.188281778015335e-11,0.0,3.659468605044639e-10,78794.67187444406
126,5.015476079833675,0.0,1.021931114113707e-09,0.0,1.2847479089150203e-10,0.0,8.278499216503255e-10,79319.16840551159
127,3.604032046676242,0.0,3.207269672819577e-10,4.904321216489865e-11,4.754003743404713e-11,0.0,3.5384968707880457e-10,80026.28687683477
128,8.297241185870107,0.0,6.932816704947384e-09,4.8803168758094697e-11,6.484552616089912e-10,0.0,4.859090931793309e-09,84111.31263872565
129,5.9120010940398515,0.0,2.7716535478899838e-09,3.342513004150777e-10,3.016652081085188e-10,0.0,2.6304603485662674e-09,83644.33561454985
130,7.3930341925005125,0.0,3.5613000773947037e-09,1.702398620518502e-10,3.7692229305238563e-10,0.0,2.884576041070757e-09,87991.3351900205
131,7.756292283923634,0.0,2.997913357321139e-09,1.8572578519382776e-10,3.3159372390776217e-10,0.0,2.528845629368763e-09,89073.87898289265
132,10.439753213656374,0.0,3.6616156302611713e-09,1.3404510032284335e-10,3.7191644015689435e-10,0.0,2.989278377913555e-09,93043.36954735464
133,12.626869801930855,0.0,5.7627081085597705e-09,7.610022005514063e-11,5.147572201208972e-10,0.0,4.680115228092717e-09,94416.53552177933
134,9.375928362862105,0.0,5.7662156002812e-09,2.6058256253024967e-10,5.704876203090313e-10,0.0,4.810771863437081e-09,93947.17368521653
135,10.100298914264005,0.0,6.634009240982556e-09,2.5700720016881455e-10,6.376694996185995e-10,0.0,5.4603952622097814e-09,95892.2603704338
136,9.652519003675913,0.0,6.9494104365619795e-09,2.9255730997278083e-10,6.668698577520579e-10,0.0,5.7914458900292594e-09,96542.95729594422
137,8.831733603477218,0.0,5.193729088122115e-09,3.541042410036678e-10,4.727359560167989e-10,0.0,4.538727685834277e-09,99595.91416684129
138,8.541045621986596,0.0,6.710001854480875e-09,2.2975255349891443e-10,6.115033898516288e-10,0.0,5.488382218434348e-09,102556.37160641585
139,5.6677606240691984,0.0,6.3136292319064105e-09,3.1400042844999e-10,5.596185903299507e-10,0.0,5.314684114057908e-09,103402.43383517419
140,6.45974302723913,0.0,8.980085205562946e-09,2.89853498586141e-10,8.296534408820383e-10,0.0,7.183879435651331e-09,106166.90094316087
141,6.159326192738532,0.0,9.885084070134734e-09,4.177419808295463e-10,9.279632373157229e-10,0.0,8.095825036583423e-09,109308.9435059755
142,7.138926635433421,0.0,6.248148676281166e-09,5.378378701377818e-10,5.432197548531209e-10,0.0,5.566581481524673e-09,110613.0081850331
143,7.648217777026969,0.0,8.080618175687167e-09,3.0929957428105755e-10,7.258020978665259e-10,0.0,6.582746528703248e-09,112320.12629921736
144,3.286350363434492,0.0,7.847255349348639e-09,3.7800557522253103e-10,6.783865934854198e-10,0.0,6.5697001881089385e-09,113152.87812440476
145,5.212843643863671,0.0,5.350037398845622e-09,4.0031352705442953e-10,4.27048143534018e-10,0.0,4.769398705332799e-09,114338.4798961872
146,3.7049955443990936,0.0,5.551292456058482e-09,2.6700197257473567e-10,4.418414140103458e-10,0.0,4.669032274828551e-09,114946.59804226074
147,6.1375189680782345,0.0,4.806941984911359e-09,2.630820505184089e-10,3.6174916085759687e-10,0.0,4.125721788702368e-09,115339.82750500657
148,6.351093640094799,0.0,5.0732091760476485e-09,2.1934939953846717e-10,3.668720356843605e-10,0.0,4.245648069297068e-09,114781.1812004423
149,3.9264972951638604,0.0,4.044074347335737e-09,2.646676005015754e-10,2.6723137211669963e-10,0.0,3.478113981105625e-09,114456.42115900066
150,6.524220795773972,0.0,3.913269560787721e-09,2.2777937043085416e-10,2.0972155054756793e-10,0.0,3.25177411499505e-09,116357.6023168428
151,10.525654401183226,0.0,2.1173767544077453e-10,2.257361602527669e-10,1.6020846766437917e-10,0.0,6.047209492882762e-10,116995.18416073089
152,6.422730650856812,0.0,1.0102443054336106e-09,2.676191432667588e-11,3.1762443378234975e-10,0.0,8.173093174940213e-10,116122.54466424833
153,13.360305288420658,0.0,1.8451971139054093e-09,0.0,5.595082381780266e-10,0.0,1.548487878487691e-09,118030.42048302792
154,8.535759176408598,0.0,2.1551846068321506e-09,6.00514714229407e-11,6.27142108744999e-10,0.0,1.8070305223479176e-09,118838.99167888996
155,14.274175297252794,0.0,3.294954115039743e-09,0.0,9.007027072846553e-10,0.0,2.813020063227608e-09,120299.55808483854
156,11.761523970435272,0.0,2.972470619135075e-09,1.0773030137239341e-10,8.551224064795125e-10,0.0,2.6265033893222078e-09,118793.94021265768
157,10.227118215021736,0.0,2.7127740906670204e-09,1.2440219622225697e-10,7.904043570578746e-10,0.0,2.367970399973633e-09,118606.27351059993
158,11.899160575990388,0.0,1.8658954902442837e-09,1.0711711296499696e-10,5.756577827471035e-10,0.0,1.7363333280256478e-09,121200.2680856522
159,10.106811734057162,0.0,2.0684268650097012e-09,6.487750945249856e-11,6.104312109019142e-10,0.0,1.7866368071122647e-09,122323.40673293911
160,14.221975144995351,0.0,4.790211011114673e-09,0.0,1.2758083994216139e-09,0.0,3.9573573351925555e-09,124096.60353824492
161,13.326290153423024,0.0,3.773144984926869e-09,1.1221057360853287e-10,1.0664380991536823e-09,0.0,3.4783514649664685e-09,122087.78051812711
162,9.101808488742531,0.0,2.8304637298786824e-09,1.7711474462471505e-10,8.262054159386185e-10,0.0,2.5835182471361353e-09,123123.23859622185
163,9.881572702011562,0.0,3.148865313338929e-09,7.98430999407039e-11,1.2470516045624382e-09,0.0,2.741108728467954e-09,123992.79038226705
164,11.246481684419065,0.0,2.1072178193894153e-09,1.0310293181663777e-10,9.661009132218802e-10,0.0,2.01085656203574e-09,123292.72008321139
165,7.639392030304269,0.0,1.5221299146938567e-09,9.724352896317628e-11,7.902223828129062e-10,0.0,1.4216942323439311e-09,121493.62180208582
166,9.211036210975038,0.0,1.559704368719237e-09,6.95852654974472e-11,8.708309147432311e-10,0.0,1.3420313174575012e-09,121139.60697680985
167,9.425020345231736,0.0,9.50940622542466e-09,0.0,8.485989582380949e-10,0.0,7.0679340451964626e-09,121350.87011947649
168,5.816011910440976,0.0,8.16044753163316e-09,3.9394522711588116e-10,6.522932228455846e-10,0.0,6.88805595705082e-09,121418.12037453552
169,6.510356115244434,0.0,6.263755712701001e-09,3.881203936310211e-10,5.02503101656096e-10,0.0,5.514458334662907e-09,121491.1372069895
170,4.54401036183989,0.0,9.588427436918545e-09,2.5460771715459055e-10,7.250072223133958e-10,0.0,7.722869708165004e-09,120019.80216468243
171,4.945562188620624,0.0,9.607895096088404e-09,4.270108648676042e-10,6.792177997747443e-10,0.0,8.02541639954265e-09,118856.55370307923
172,5.658168749451972,0.0,1.4021637272559706e-08,3.149936978798092e-10,1.1023384776771364e-09,0.0,1.1412398069468965e-08,118245.78690042485
173,7.982956205640507,0.0,1.7302389874901615e-08,4.311774017438594e-10,1.339606469926487e-09,0.0,1.4464496653768448e-08,117117.1756710465
174,7.884598559522071,0.0,1.797710843805985e-08,6.708349530833975e-10,1.1179637142612146e-09,0.0,1.539748128012616e-08,115362.24853078673
175,8.934930166994084,0.0,2.462749373318909e-09,1.0490708034249556e-09,1.1583370023712502e-09,0.0,3.9512259301729565e-09,113192.2714964059
176,9.715355644831565,0.0,7.515769476451945e-10,2.677771084482004e-10,3.0955917596532294e-10,0.0,1.0935992892965492e-09,110875.93591162955
177,14.448954465792532,0.0,7.993953870904826e-10,3.192710070278806e-11,2.960657447863714e-10,0.0,7.877546776442661e-10,108653.8533866344
178,10.95205342024246,0.0,7.585375054382381e-10,3.619171451865262e-11,2.454490996933321e-10,0.0,6.731914199443046e-10,105501.80085657288
179,11.117962299762361,0.0,2.053490299394123e-09,0.0,8.286150284902605e-10,0.0,1.6545798648037663e-09,101576.88440259286
180,11.080248655751944,0.0,1.1270242127333334e-09,7.369861162666108e-11,4.6364135012573324e-10,0.0,1.0925095073576858e-09,101117.53933982745
181,14.66074970974316,0.0,1.3394090263807838e-09,0.0,6.031046270963383e-10,0.0,1.2460145763181253e-09,100247.8521056233
