hour,p_import_mw,p_export_mw,p_ely_mw,p_fc_mw,p_dg_mw,p_curt_mw,soc_mwh
0,1.6028855517933768e-08,0.0,4.199023337153765e-09,0.0,3.367606673454038,0.0,3.583970391825816e-09
1,1.120764572878898e-08,0.0,3.5415367761389284e-09,0.0,1.6835004225020187,0.0,6.6294604229275446e-09
2,1.4532003137020296e-08,0.0,2.9092345792103225e-09,0.0,2.534394059314816,0.0,9.214438663166413e-09
3,1.4670175269601144e-08,0.0,2.506777773819608e-09,0.0,2.8937062189023695,0.0,1.1399123365345653e-08
4,1.6950042551606136e-08,0.0,2.2097883346659735e-09,0.0,3.503862850304123,0.0,1.3235170164342608e-08
5,1.7516499938888823e-08,0.0,2.009257330117496e-09,0.0,4.159574362349876,0.0,1.479349363111123e-08
6,1.7519107786764886e-08,0.0,1.8423744999532402e-09,0.0,3.8477981452384933,0.0,1.619888892906174e-08
7,0.8829380185694768,0.0,1.3343156217492113e-09,1.1701836129968216e-10,4.999999987111684,0.0,1.6937835773400383e-08
8,0.9763409549565001,0.0,1.1971324648480964e-09,9.098253536971608e-11,4.999999986443693,0.0,1.762134789697674e-08
9,0.603306236502305,0.0,1.2246529169817165e-09,7.172564805918404e-11,4.999999985697241,0.0,1.8353675132184014e-08
10,3.3922219590473053,0.0,9.99513333058743e-10,1.4572034932269792e-10,4.999999993859734,0.0,1.8805048051788492e-08
11,0.5021425182736082,0.0,1.0600594130908447e-09,1.727812041071767e-10,4.9999999776493,0.0,1.9249162306095285e-08
12,3.8260399034732266,0.0,8.334460750372503e-10,2.415171332397556e-10,4.9999999934020245,0.0,1.9423969623513406e-08
13,9.473420998267938,0.0,9.119612793937354e-10,3.080602914386058e-10,4.999999992762494,0.0,1.9550628330869848e-08
14,10.349559849033993,0.0,8.145939787035452e-10,4.0928135636206046e-10,4.999999992844439,0.0,1.9441999125370924e-08
15,12.792061901612547,0.0,8.150354858793134e-10,5.004914787103072e-10,4.999999993286646,0.0,1.9183537079403482e-08
16,6.719512530688593,0.0,6.004823325375881e-10,6.676385472670962e-10,4.999999992581235,0.0,1.8488023485340714e-08
17,10.472031859941776,0.0,6.564616032278706e-10,7.749595014625945e-10,4.999999992887372,0.0,1.7656035281299196e-08
18,5.619208634549453,0.0,4.674687846802988e-10,9.785923111278473e-10,4.999999992618732,0.0,1.6345813528782287e-08
19,3.442656908786737,0.0,4.2289681249427366e-10,1.1862167655019185e-09,4.999999994114699,0.0,1.4657779489868964e-08
20,4.852774206748589,0.0,3.3829374824238273e-10,1.4465596283229366e-09,4.999999992800083,0.0,1.2480517710728466e-08
21,6.824058017178286,0.0,2.9258124327131903e-10,1.8251918399670707e-09,4.99999999254515,0.0,9.64424116234397e-09
22,5.6434512827429,0.0,1.864601963192424e-10,2.4457601220537523e-09,4.999999992577894,0.0,5.701031616080884e-09
23,7.7884210199635815,0.0,1.0245190067080971e-10,3.641256158827254e-09,4.999999992547359,0.0,-2.906981934334054e-10
